@relation '51java-nominal-csv (6)-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute joblocation_num {'First-tier city','Other First-tier city','Second-tier city','Third-tier city'}
@attribute Internship {No,Yes}
@attribute education {Bachelor,'College degree','Not Required',Master}
@attribute experience {'2 years','3 years','5 years','1 year','no experience','Not Required','8 years','Fresh graduate','4 years','7 years','over 10 years','6 years'}
@attribute Average_salary {medium,low}
@attribute company_style {State-owned,Listed,Private-owned,'Foreign (except EU & US)','Joint venture',New,'Foreign(EU & US)',Institution,Non-profit}
@attribute company_scale {1000-5000,500-1000,'Less than 50',150-500,50-150,'Over 10k',5000-10000}
@attribute job_industry {'Communications/Telecommunications/Network equipment','Computer services','Computer Software/Hardware','Professional service',E-commerce,'Medical/Biological Engineering',Others,Gaming,Service,'Engineering/Electronic technology',Finance,Equipment,Education}
@attribute job_classification {'System architect','Software Engineer','Internet Software Development Engineer','Java Developer','Web front-end development','Senior software engineer',Others,Manager,ERP,'Technical support/maintenance engineer'}

@data
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Communications/Telecommunications/Network equipment','Senior software engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,'Less than 50',Service,'Internet Software Development Engineer'
'Third-tier city',No,'College degree','3 years',low,Private-owned,150-500,'Computer Software/Hardware','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,'Joint venture',500-1000,Equipment,'Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Listed,1000-5000,'Computer services','Java Developer'
'Other First-tier city',No,'College degree','2 years',medium,Private-owned,50-150,Others,'Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,Others,'Senior software engineer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Engineering/Electronic technology',Others
'First-tier city',No,'College degree','2 years',medium,Private-owned,150-500,'Medical/Biological Engineering','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,'Joint venture',500-1000,'Computer Software/Hardware','Software Engineer'
'Second-tier city',No,Bachelor,'1 year',medium,Private-owned,500-1000,'Engineering/Electronic technology','Senior software engineer'
'Other First-tier city',Yes,'College degree','Not Required',low,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,500-1000,Others,'Senior software engineer'
'First-tier city',No,'College degree','no experience',low,Private-owned,50-150,'Engineering/Electronic technology','Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Listed,50-150,'Computer services','Software Engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,State-owned,500-1000,'Engineering/Electronic technology','Senior software engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Engineering/Electronic technology','Java Developer'
'Other First-tier city',No,Bachelor,'5 years',medium,New,50-150,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,500-1000,'Engineering/Electronic technology','Senior software engineer'
'Third-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer services','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Communications/Telecommunications/Network equipment','Internet Software Development Engineer'
'Second-tier city',No,Bachelor,'2 years',medium,Private-owned,'Less than 50',Equipment,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,'College degree','2 years',medium,Private-owned,50-150,Others,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,Finance,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'Other First-tier city',No,'College degree','2 years',medium,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',low,Private-owned,150-500,Others,'Senior software engineer'
'Second-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,Education,'Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer Software/Hardware','Senior software engineer'
'First-tier city',Yes,'College degree','Fresh graduate',low,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,Finance,'Senior software engineer'
'Second-tier city',No,'College degree','2 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Listed,5000-10000,'Computer services','Java Developer'
'First-tier city',No,Bachelor,'2 years',medium,Listed,150-500,'Communications/Telecommunications/Network equipment','Java Developer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,'Less than 50',Others,'Senior software engineer'
'Second-tier city',No,Bachelor,'1 year',medium,Private-owned,50-150,'Computer Software/Hardware','Internet Software Development Engineer'
'First-tier city',No,'College degree','1 year',low,Private-owned,'Less than 50','Computer Software/Hardware','Java Developer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50',E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,E-commerce,Manager
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,E-commerce,'Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'Not Required',medium,Private-owned,150-500,Equipment,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',low,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,'Less than 50','Computer services','Senior software engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50',E-commerce,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'2 years',low,Private-owned,50-150,'Computer services','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,'Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,Institution,'Less than 50','Engineering/Electronic technology','Software Engineer'
'First-tier city',No,Bachelor,'1 year',medium,State-owned,1000-5000,'Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,500-1000,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,New,'Less than 50','Computer services','System architect'
'Second-tier city',No,Bachelor,'1 year',medium,Private-owned,150-500,'Communications/Telecommunications/Network equipment','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer services','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer services','System architect'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50','Computer Software/Hardware',Manager
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50',Others,'Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,50-150,'Computer Software/Hardware','Web front-end development'
'Second-tier city',No,Bachelor,'1 year',low,'Joint venture',5000-10000,'Computer services',Others
'First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,'Medical/Biological Engineering','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,'Joint venture',1000-5000,'Computer Software/Hardware','Java Developer'
'Other First-tier city',Yes,'College degree','Fresh graduate',low,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,'Computer Software/Hardware','Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,Listed,500-1000,'Computer services','Senior software engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,Others,'Java Developer'
'Other First-tier city',No,Bachelor,'8 years',medium,Private-owned,150-500,'Computer Software/Hardware',Manager
'Third-tier city',No,Bachelor,'1 year',medium,'Joint venture',50-150,E-commerce,'Internet Software Development Engineer'
'Third-tier city',No,Bachelor,'2 years',medium,'Joint venture','Over 10k',Finance,'Java Developer'
'Third-tier city',No,Bachelor,'no experience',low,State-owned,500-1000,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'Fresh graduate',low,State-owned,'Over 10k',Others,'Java Developer'
'First-tier city',No,'College degree','5 years',medium,State-owned,500-1000,Service,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Over 10k','Communications/Telecommunications/Network equipment','Web front-end development'
'Other First-tier city',No,Bachelor,'1 year',medium,State-owned,50-150,'Computer services','Software Engineer'
'Other First-tier city',No,Master,'Not Required',medium,State-owned,150-500,Education,'Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'Fresh graduate',medium,'Foreign(EU & US)',150-500,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'Not Required',medium,Private-owned,150-500,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'Not Required',medium,State-owned,150-500,Finance,'Java Developer'
'Other First-tier city',No,Bachelor,'Fresh graduate',medium,'Joint venture',150-500,'Engineering/Electronic technology','Java Developer'
'First-tier city',No,Master,'Fresh graduate',medium,State-owned,150-500,'Communications/Telecommunications/Network equipment','Internet Software Development Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,'Foreign (except EU & US)',150-500,E-commerce,'Java Developer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,Others,ERP
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Engineering/Electronic technology','Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50',E-commerce,'Senior software engineer'
'Other First-tier city',No,'College degree','2 years',medium,Private-owned,50-150,E-commerce,ERP
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,Others,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,Service,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50',Gaming,'Java Developer'
'Other First-tier city',No,'Not Required','5 years',medium,Private-owned,150-500,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,5000-10000,Education,'Internet Software Development Engineer'
'Other First-tier city',No,'College degree','2 years',low,Private-owned,150-500,'Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,E-commerce,'Software Engineer'
'Second-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50',Education,'Java Developer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,Equipment,'Senior software engineer'
'First-tier city',No,'College degree','2 years',medium,Private-owned,150-500,Education,'Software Engineer'
'Other First-tier city',No,'College degree','1 year',low,Private-owned,1000-5000,'Computer Software/Hardware','Internet Software Development Engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,50-150,Service,'Senior software engineer'
'Other First-tier city',No,'College degree','2 years',low,Private-owned,'Less than 50',E-commerce,'Java Developer'
'Third-tier city',No,'College degree','1 year',medium,Listed,150-500,E-commerce,'Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,50-150,'Computer services','Software Engineer'
'Second-tier city',No,'College degree','2 years',medium,Private-owned,150-500,Finance,'Software Engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,150-500,E-commerce,Manager
'Other First-tier city',No,Bachelor,'3 years',medium,State-owned,50-150,Service,'Senior software engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,'College degree','2 years',low,State-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Medical/Biological Engineering','Software Engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'Not Required',medium,'Foreign (except EU & US)',150-500,'Computer Software/Hardware',ERP
'First-tier city',No,Bachelor,'3 years',medium,'Foreign (except EU & US)','Over 10k','Computer services','Software Engineer'
'Other First-tier city',No,'College degree','5 years',medium,'Joint venture',150-500,'Computer services','Software Engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,Others,'Senior software engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,Others,'Senior software engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,Finance,'Senior software engineer'
'Third-tier city',No,Bachelor,'3 years',low,Private-owned,50-150,'Computer services','Software Engineer'
'First-tier city',No,'College degree','5 years',medium,Listed,150-500,'Computer services','Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Engineering/Electronic technology','Java Developer'
'Second-tier city',No,'College degree','1 year',low,Private-owned,50-150,'Computer Software/Hardware','Technical support/maintenance engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,500-1000,'Engineering/Electronic technology','Senior software engineer'
'Other First-tier city',No,Bachelor,'1 year',medium,Private-owned,500-1000,'Computer services','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,'Joint venture',50-150,Education,ERP
'First-tier city',No,'College degree','1 year',medium,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Other First-tier city',No,'College degree','1 year',medium,Listed,500-1000,Service,Others
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,Others,'Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,500-1000,'Communications/Telecommunications/Network equipment','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Communications/Telecommunications/Network equipment','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Listed,1000-5000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,Others,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,500-1000,Finance,'Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer services','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,'Foreign(EU & US)',500-1000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,E-commerce,'Java Developer'
'Third-tier city',No,'College degree','3 years',medium,Private-owned,150-500,'Communications/Telecommunications/Network equipment','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,New,'Less than 50','Computer services','Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,State-owned,500-1000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Second-tier city',No,Bachelor,'5 years',medium,'Foreign(EU & US)',500-1000,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Listed,'Over 10k','Communications/Telecommunications/Network equipment','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,500-1000,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Listed,1000-5000,Others,'Java Developer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Listed,500-1000,'Computer services','Senior software engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,500-1000,Equipment,'Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,Manager
'First-tier city',No,'College degree','3 years',medium,State-owned,150-500,Others,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,E-commerce,'Software Engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,'Engineering/Electronic technology','Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Communications/Telecommunications/Network equipment','Senior software engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,'Computer services','Senior software engineer'
'First-tier city',No,'College degree','5 years',medium,'Foreign (except EU & US)',1000-5000,'Communications/Telecommunications/Network equipment','Senior software engineer'
'Third-tier city',No,Bachelor,'3 years',low,Private-owned,50-150,'Professional service','Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,Gaming,'Senior software engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Listed,1000-5000,'Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,'Joint venture',150-500,Finance,'Software Engineer'
'Third-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,E-commerce,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Computer services','Software Engineer'
'First-tier city',No,Bachelor,'8 years',medium,'Foreign (except EU & US)',500-1000,Finance,Manager
'First-tier city',No,Bachelor,'3 years',medium,Listed,500-1000,Gaming,'Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,E-commerce,'Java Developer'
'Other First-tier city',No,'College degree','5 years',medium,Private-owned,'Less than 50','Engineering/Electronic technology','Senior software engineer'
'Other First-tier city',No,'Not Required','3 years',medium,'Foreign (except EU & US)','Over 10k',Service,'Technical support/maintenance engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Medical/Biological Engineering','Software Engineer'
'Other First-tier city',No,'College degree','2 years',medium,Private-owned,500-1000,'Engineering/Electronic technology','Internet Software Development Engineer'
'Third-tier city',No,'Not Required','2 years',low,Private-owned,1000-5000,Equipment,Others
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,50-150,E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,150-500,'Computer services','Senior software engineer'
'Second-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,E-commerce,'Software Engineer'
'Other First-tier city',No,'College degree','1 year',medium,'Joint venture',1000-5000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Other First-tier city',No,Master,'2 years',medium,Private-owned,500-1000,Service,'Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,Finance,Others
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,500-1000,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'Not Required',medium,'Foreign(EU & US)',1000-5000,Finance,'Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,Others,'Software Engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,500-1000,E-commerce,'Java Developer'
'Other First-tier city',No,'Not Required','8 years',medium,Listed,500-1000,'Computer services','System architect'
'Second-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,Others,'Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,'Joint venture',1000-5000,'Medical/Biological Engineering','Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Listed,1000-5000,'Computer services','System architect'
'Other First-tier city',No,Bachelor,'3 years',medium,Listed,500-1000,'Medical/Biological Engineering','Senior software engineer'
'Other First-tier city',No,'College degree','5 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Senior software engineer'
'Third-tier city',No,'College degree','2 years',low,Private-owned,150-500,Others,'Java Developer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,500-1000,'Medical/Biological Engineering','Software Engineer'
'Other First-tier city',No,'Not Required','3 years',medium,Private-owned,500-1000,Gaming,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'1 year',medium,State-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,1000-5000,Finance,'Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,Equipment,'Senior software engineer'
'Third-tier city',Yes,Bachelor,'Fresh graduate',low,Private-owned,1000-5000,E-commerce,Others
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,1000-5000,Others,'Senior software engineer'
'First-tier city',No,Bachelor,'5 years',medium,Listed,1000-5000,'Engineering/Electronic technology','Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,1000-5000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,500-1000,'Communications/Telecommunications/Network equipment','Software Engineer'
'Third-tier city',No,Bachelor,'2 years',medium,Private-owned,50-150,E-commerce,'Software Engineer'
'Other First-tier city',No,'College degree','1 year',low,Private-owned,50-150,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,'Not Required','1 year',medium,Private-owned,150-500,'Professional service','Internet Software Development Engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer services','Software Engineer'
'Third-tier city',No,Bachelor,'Fresh graduate',low,'Foreign (except EU & US)',150-500,'Computer Software/Hardware','Software Engineer'
'First-tier city',Yes,Bachelor,'Fresh graduate',low,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'Third-tier city',No,'College degree','1 year',low,Private-owned,150-500,'Computer services','Software Engineer'
'First-tier city',No,Bachelor,'1 year',medium,'Foreign(EU & US)',50-150,Others,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'Second-tier city',No,Bachelor,'2 years',medium,State-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,Bachelor,'2 years',medium,State-owned,50-150,Others,'Java Developer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,150-500,'Medical/Biological Engineering','System architect'
'Second-tier city',Yes,Bachelor,'Fresh graduate',low,Private-owned,'Less than 50',Finance,'Java Developer'
'Third-tier city',No,Bachelor,'2 years',medium,Listed,150-500,Finance,'Senior software engineer'
'Other First-tier city',No,'College degree','5 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Communications/Telecommunications/Network equipment','Software Engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'Other First-tier city',No,'College degree','5 years',medium,Private-owned,1000-5000,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,'Not Required','5 years',medium,Listed,1000-5000,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,'College degree','2 years',medium,Private-owned,50-150,'Professional service','Senior software engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Professional service','Senior software engineer'
'Other First-tier city',No,'College degree','3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Third-tier city',No,Bachelor,'3 years',medium,New,'Less than 50',E-commerce,'Senior software engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,'Less than 50','Computer services','Java Developer'
'Second-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Java Developer'
'Other First-tier city',No,Bachelor,'Fresh graduate',medium,Listed,1000-5000,E-commerce,'Software Engineer'
'Third-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'Second-tier city',Yes,Bachelor,'Fresh graduate',low,Private-owned,50-150,'Computer services','Software Engineer'
'First-tier city',No,Bachelor,'3 years',low,Private-owned,'Less than 50','Communications/Telecommunications/Network equipment','Software Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,500-1000,E-commerce,'Senior software engineer'
'First-tier city',No,Bachelor,'2 years',low,Private-owned,150-500,'Computer services','Software Engineer'
'First-tier city',No,Bachelor,'5 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,'Joint venture',150-500,'Computer Software/Hardware','Internet Software Development Engineer'
'Other First-tier city',Yes,Bachelor,'Fresh graduate',low,Private-owned,50-150,'Computer Software/Hardware','Software Engineer'
'Second-tier city',No,'College degree','2 years',low,Private-owned,50-150,'Computer services','Java Developer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,Finance,'Java Developer'
'Third-tier city',No,Bachelor,'1 year',medium,State-owned,150-500,'Communications/Telecommunications/Network equipment','Software Engineer'
'Other First-tier city',No,Bachelor,'2 years',medium,Private-owned,150-500,E-commerce,'Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,State-owned,150-500,'Communications/Telecommunications/Network equipment','Senior software engineer'
'Second-tier city',No,Bachelor,'3 years',medium,State-owned,150-500,E-commerce,'Senior software engineer'
'Second-tier city',No,'College degree','1 year',low,Private-owned,'Less than 50',Service,'Senior software engineer'
'Other First-tier city',No,Bachelor,'1 year',low,Private-owned,'Less than 50','Engineering/Electronic technology','Software Engineer'
'Other First-tier city',No,'College degree','no experience',low,Private-owned,50-150,'Professional service','Java Developer'
'Third-tier city',No,'College degree','3 years',medium,Private-owned,150-500,'Communications/Telecommunications/Network equipment','Software Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer services','Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',low,Private-owned,50-150,'Communications/Telecommunications/Network equipment','Software Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'Third-tier city',No,Bachelor,'Not Required',low,'Joint venture',50-150,'Engineering/Electronic technology','Software Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,'Foreign (except EU & US)',150-500,'Computer Software/Hardware',Manager
'First-tier city',No,'College degree','2 years',low,Private-owned,50-150,'Communications/Telecommunications/Network equipment','Internet Software Development Engineer'
